locx,locy,dist,made
-116,251,27,0
-3,48,4,1
-158,254,29,0
227,1,22,1
-3,-4,0,1
-52,247,25,0
-12,-3,1,1
163,183,24,0
10,122,12,1
-78,-30,8,0
-27,7,2,0
-231,53,23,0
184,183,25,1
-191,165,25,0
135,218,25,0
119,227,25,1
-9,22,2,1
14,267,26,1
-21,6,2,0
131,229,26,0
-11,3,1,1
-27,17,3,0
-9,17,1,1
160,194,25,0
224,341,40,0
14,266,26,0
-9,258,25,1
-239,61,24,1
6,263,26,1
-100,241,26,1
110,246,26,0
-228,52,23,0
62,72,9,0
-153,217,26,0
-103,238,25,0
-20,-1,2,1
-16,29,3,0
-22,10,2,1
-25,12,2,0
-55,257,26,1
124,217,24,1
-122,231,26,0
-18,50,5,0
-18,28,3,0
-27,248,24,1
-2,68,6,1
-17,10,1,1
120,231,26,1
6,13,1,1
-8,6,1,1
-27,18,3,0
-232,73,24,0
21,33,3,0
237,50,24,0
18,264,26,0
-54,257,26,1
-63,255,26,1
6,21,2,0
68,260,26,0
74,253,26,1
2,11,1,1
-9,13,1,0
1,6,0,0
8,8,1,0
-2,261,26,0
7,3,0,1
186,178,25,0
-11,14,1,0
-223,73,23,0
99,237,25,1
234,90,25,0
1,14,1,1
-20,255,25,1
126,231,26,0
67,148,16,1
-9,0,0,1
-143,206,25,1
3,9,0,1
-2,75,7,0
1,1,0,1
157,190,24,0
123,218,25,0
-11,2,1,1
-13,12,1,1
-143,236,27,1
-207,158,26,0
11,256,25,0
158,215,26,0
-117,233,26,0
46,259,26,0
-12,16,2,0
-203,164,26,0
-88,121,14,1
96,230,24,0
41,249,25,0
-11,12,1,1
-3,10,1,1
27,13,2,0
-40,21,4,0
147,223,26,1
8,39,3,1
166,204,26,0
-132,257,28,0
212,132,24,0
-50,97,10,0
29,29,4,0
-145,38,14,0
-55,48,7,1
1,68,6,1
176,198,26,0
239,37,24,1
-33,5,3,1
-3,67,6,1
5,48,4,1
46,279,28,0
126,224,25,0
-19,263,26,0
101,261,27,0
17,266,26,0
155,225,27,0
88,247,26,0
-18,77,7,1
-33,27,4,0
-228,-17,22,1
180,186,25,0
-7,13,1,0
129,34,13,1
-9,69,6,1
81,75,11,0
-1,4,0,1
-2,-1,0,1
-99,81,12,1
100,235,25,1
-41,15,4,1
237,-16,23,1
-58,95,11,0
-9,0,0,1
62,247,25,0
-59,250,25,0
84,236,25,0
186,219,28,0
196,183,26,0
-113,247,27,0
7,126,12,1
12,269,26,0
-19,4,1,1
-4,79,7,0
177,197,26,1
-108,124,16,1
8,75,7,0
162,206,26,0
-2,12,1,1
20,0,2,0
-152,230,27,1
22,76,7,1
231,112,25,0
-8,260,26,1
-30,38,4,0
146,207,25,0
228,-10,22,0
-2,6,0,1
5,49,4,0
51,257,26,0
0,262,26,0
132,215,25,1
93,230,24,0
-18,25,3,0
-103,241,26,0
163,199,25,0
166,193,25,0
-15,22,2,0
90,242,25,0
47,90,10,0
-11,55,5,0
-51,58,7,0
133,224,26,1
32,294,29,0
-4,13,1,1
-55,273,27,1
-2,14,1,1
132,225,26,1
199,148,24,1
9,11,1,1
-8,253,25,1
103,241,26,1
-22,17,2,0
-15,9,1,1
-14,16,2,0
-21,8,2,0
-24,3,2,0
-221,26,22,0
221,12,22,0
166,196,25,0
-149,223,26,0
47,118,12,0
-176,221,28,1
65,253,26,0
102,236,25,0
-225,16,22,1
135,220,25,1
154,199,25,0
-103,227,24,1
-225,90,24,0
123,229,25,1
22,14,2,0
8,1,0,1
-20,9,2,1
6,42,4,0
-230,93,24,1
241,106,26,0
-111,224,24,0
153,235,28,0
-15,-1,1,1
155,89,17,1
131,239,27,1
-7,81,8,1
-212,236,31,0
-52,169,17,1
-171,189,25,0
125,216,24,0
-3,91,9,1
-8,21,2,1
53,260,26,1
221,81,23,0
7,24,2,1
1,13,1,1
232,106,25,1
-19,13,2,0
232,52,23,0
-3,46,4,0
-29,15,3,1
20,36,4,1
-19,8,2,1
-196,177,26,0
-68,263,27,0
17,9,1,1
-8,88,8,1
96,237,25,0
-18,15,2,1
223,27,22,1
42,252,25,0
228,-3,22,0
124,233,26,1
